id,content,timestamp,username,userdisplayname,userlocation,retweetCount,likeCount,language,cleaned_content,sentiment_scores,compound_score,sentiment
1658111147403255808,"Hilda, don’t put onions in Afang soup, that is all wrong😖  

#Seunkuti #Hilda #Hildabacicookathon",2023-05-15 14:04:38+00:00,EDUdiong,Edidiong Udiong,,0,0,en,Hilda dont put onions in Afang soup that is all wrong,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative
1658111092256645125,"How I wish they  publish their names

#Guinessbookofrecord  #Hilda Seun Kuti INEC portable Mr president Tobi amusan PTSD Enioluwa https://t.co/NYXN2omV9S",2023-05-15 14:04:25+00:00,shegunoyewumi,Olamide™ ( Yoruba obidient),,0,4,en,How I wish they publish their names Seun Kuti INEC portable Mr president Tobi amusan PTSD Enioluwa,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4019}",0.4019,Positive
1658111055879340033,"Step aside for the game changer🔥

#hilda 
#Hildabacicookathon
#Guinessbookofrecord https://t.co/eDHn3GV7Kp",2023-05-15 14:04:16+00:00,iamrubydennis,Royal Ruby👸,In Christ,8,79,en,Step aside for the game changer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658111031854374913,"Who Is Hilda Baci? Everything About Hilda Baci‍
https://t.co/HMkWTJDR7f 
#100hrs Mr President Seun Kuti INEC Lata Tondon Enioluwa #rootingforhilda #betonhilda #cookathon Charles Okocha Tobi Amusan Yoruba Ronu #Guinessbookofrecord #Hilda Seun Kuti PTSD",2023-05-15 14:04:10+00:00,GoPublicToday,GoPublicⓂ️🕐,Nigeria,0,0,in,Who Is Hilda Baci Everything About Hilda Baci Mr President Seun Kuti INEC Lata Tondon Enioluwa Charles Okocha Tobi Amusan Yoruba Ronu Seun Kuti PTSD,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658111006743068682,"What will you do for your family ? 

Be like #VinDiesel 🚗

#FamilyDay #familyday2023  #web3 #fintech #Hilda #FastX https://t.co/yKf7XH4HDJ",2023-05-15 14:04:04+00:00,mulafinance,Mula Token,"Accra, Ghana",0,2,en,What will you do for your family Be like,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",0.3612,Positive
1658110995435274242,"Idan gangan
Hilda can cook for days 
Record breaker
Record maker
Well done, your grace is loud! @hildabacicooks 💪🙌💯

#hildabacicookathon #hilda #guinessworldrecord #hildacookathon #Guinessbookofrecord #MotivationalMonday #100hrs",2023-05-15 14:04:02+00:00,starleeon_,Starleeon🦁,Lagos,0,1,en,Idan gangan Hilda can cook for days Record breaker Record maker Well done your grace is loud hildabacicooks,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.5994}",0.5994,Positive
1658110988640501760,"What a great way to start the week! With the motivation from @myfoodbyhilda @myfoodbyhilda_lag who has proved that YOU CAN achieve whatever you set your mind to, here's us wishing you a productive week.

Your dream is valid! 💯

#monday #dreams #infraserv #hilda https://t.co/0QCStUpftT",2023-05-15 14:04:00+00:00,InfraserveNg,InfraserveNg,,0,0,en,What a great way to start the week With the motivation from myfoodbyhilda myfoodbyhildalag who has proved that YOU CAN achieve whatever you set your mind to heres us wishing you a productive week Your dream is valid,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.8555}",0.8555,Positive
1658110977039015937,"Hilda just reached 95hrs
1 hr to go baby!!❤️
#Hilda https://t.co/jKcom7Ary1",2023-05-15 14:03:57+00:00,cute_menah,𝐦𝐞𝐧𝐚𝐡🧚🏽‍♀️,💸,19,35,en,Hilda just reached 95hrs 1 hr to go baby,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.1027}",0.1027,Positive
1658110933099479041,"Everybody Dey congratulate #Hilda Baci My very own Mr President Buhari Dey request  approval from senate for $800 loan request..

🤣🤣🤣",2023-05-15 14:03:47+00:00,official_leeman,L££MAN,Lagos,0,0,en,Everybody Dey congratulate Baci My very own Mr President Buhari Dey request approval from senate for 800 loan request,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.743}",0.743,Positive
1658110869564186631,"Bunch of idiots. When the time for voting competent leaders comes during elections, they will be thinking with their stomach instead of their brains. This shege pro max ehn, long may it continue! 

Seun Kuti #Hilda Ikeja Yoruba Ronu INEC Mr. President Saliba Amusan Trey Obidients",2023-05-15 14:03:32+00:00,EduOfAwka,Nedu,"Onitsha, Nigeria",0,0,en,Bunch of idiots When the time for voting competent leaders comes during elections they will be thinking with their stomach instead of their brains This shege pro max ehn long may it continue Seun Kuti Ikeja Yoruba Ronu INEC Mr President Saliba Amusan Trey Obidients,"{'neg': 0.0, 'neu': 0.95, 'pos': 0.05, 'compound': 0.3182}",0.3182,Positive
